Key	Catalogus Nr.
C-EUC0805K:1U/16V	YCAM1U-1
C-EUC0805K:2U2/25V	YCAM2U2-2
CT68U/16V	YCAT68U-2
MOLEX_54366-0478	CNUSB04F5
MAX682	YICRMAX682
1X6_SMDPAD	DO_NOT_PLACE
C-EUC0805K:4n7/200V	YCAM4N7-2
2036-09-SM	YGDTT90
AMP_6368011-3	CNRJ45F2
KX327XS	YXTL32K76-1
R-EU_R1206:NOT_PLACED_0E	DO_NOT_PLACE_YRES0E
PCF8563TS	YICSPCF8563
POLYRACK_SHIELDING_UNIT_PCB	BRD071004/2
SD-CARD	30-0204
TS22B	SWI40-1
WE-CBF_0805:742792040	YFIL23
L-EUL1812:NOT_PLACED	DO_NOT_PLACE
R-EU_R0603:NOT_PLACED_0E	DO_NOT_PLACE_YRES0E-1
R-EU_R0603:NOT_PLACED_3K3	DO_NOT_PLACE_YRES3K3-1
CT_15U/50V:15u/50V	YCAT15U-1
YCAT15U-1:DO_NOT_PLACE_15U	DO_NOT_PLACE_YCAT15U-1
R-EU_R0603:DO_NOT_PLACE_10K	DO_NOT_PLACE_YRES10K-1
